chrom	concave_start	concave_end	mode	_bigwig-files/SacCer3_00_rep1_SRR1822155.bw_rep1_score	_bigwig-files/SacCer3_00_rep1_SRR1822155.bw_rep2_score	_bigwig-files/SacCer3_15_rep2_SRR1822158.bw_rep1_score	_bigwig-files/SacCer3_15_rep2_SRR1822158.bw_rep2_score	_bigwig-files/SacCer3_45_rep1_SRR1822161.bw_rep1_score	_bigwig-files/SacCer3_45_rep1_SRR1822161.bw_rep2_score
I	78	552	164	3785.0952884909125	2823.8948486973786	2577.8867451747606	2502.5757227985036	2978.7530657995035	1468.4623901554367
I	1193	1481	1376	416.25352911305305	384.46781071703117	309.8910137065804	179.97443258646197	406.2333799067751	91.4785803550603
I	1889	2107	1969	-21.388575844096923	76.66875649123345	12.921257932191288	24.6581682974468	101.95421108836949	6.2590009826807265
I	2415	2738	2539	138.37632330180298	391.9249716526213	310.8732980698651	133.40283848572227	646.7736631017016	246.57034856160377
I	3330	3569	3454	120.6004852443027	72.73932837488017	30.14508998945349	0.8149171774216413	-23.637053036536297	-11.971249036522414
I	3775	3799	3781	7.703571174008563	-50.733184074867154	-66.09204525749378	37.8934010783387	27.48219911583197	46.54997359352063
I	4007	4364	4294	17.496764236170787	30.929265718386674	10.787207961880126	12.724839208888204	22.872627296992984	13.128158826196694
I	4595	4869	4736	32.38169985048515	24.75710333328195	-5.53170467091519	26.91470765856349	39.13126236819531	87.37927415108531
I	5165	5284	5226	64.5803953283145	-29.36236613056147	18.67249348674364	41.15998768937285	-23.387294246908553	-27.628173120126814
I	5532	5789	5649	-6.038693046834967	68.63860336788704	34.77584263189656	-30.76305801290009	6.707060952362646	-11.769343739445103
I	5805	5912	5854	210.96211126229656	-12.017759457692382	-78.48906645203422	-73.70574375158247	-31.714583164031083	48.236487998846975
I	6342	6539	6439	1633.5482300926901	1080.2169157181318	806.6965876944857	585.6622572819942	1022.1836707309047	661.2484057439902
I	7316	7380	7343	35.36205888285341	9.746869186026233	47.194968646222236	5.548022432117754	-42.55182214928234	-24.80802182038082
I	7408	7645	7553	-24.402022475323506	61.58505191176407	7.688681830275735	36.090905616961855	68.95052330652061	-34.78040302689666
I	8061	8406	8230	101.61205494118357	179.81002978971563	135.71400842735997	63.629129487512884	168.02936346971816	61.462974568862734
I	8725	8917	8816	77.06666417537097	102.86204588838257	49.82170640882498	41.55111570442264	101.09187609950949	17.55743404752847
I	9304	9545	9391	181.94165700635773	261.49986208291847	123.80779932612	103.64958957134996	261.1169273722299	101.31180239451959
I	9605	9610	9607	89.9970798245244	-112.81814853402402	175.72373571284382	102.8737129347509	-51.135327474623786	-199.83366602030392
I	9618	9737	9655	114.70451650640153	13.573016979774597	19.89578325947054	79.53387472749951	52.240827217128064	-147.9633066897834
I	9968	10125	10081	136.57812258460586	12.153020576678644	-4.144651151181824	7.817566257194117	20.62433967703842	-63.062576243448056
I	10398	10570	10505	58.13004191525338	63.149017352332926	-7.3486432757065225	48.30453645077301	91.13324867011674	2.294605305814706
I	11097	11316	11196	257.96075332377967	194.38266422431363	34.65274724848543	31.955021343596467	26.128869652009115	236.55489440476913
I	11601	11794	11703	173.62126765928252	104.79125827716005	40.008227568950545	48.617796887769586	124.17082905308983	94.64285495968804
I	11986	12216	12097	62.98492514561658	173.85910111542535	73.42297822137948	27.043533477288857	71.10768549084295	66.53088515772635
I	12440	12448	12445	-2.163200047418273	52.884811137457916	37.88702824038014	-41.96636917088065	17.96787882994273	-62.59539420329949
